"CreatedDateTime","CurrentScore","MaxScore","LicensedUserCount","ActiveUserCount","SecureScore"
"7.4.2023 00:00:00","82,86","239","25","21","34,67"
"6.4.2023 00:00:00","82,86","239","25","21","34,67"
"5.4.2023 00:00:00","82,86","239","25","21","34,67"
"4.4.2023 00:00:00","82,86","239","25","21","34,67"
"3.4.2023 00:00:00","82,86","239","25","21","34,67"
"2.4.2023 00:00:00","82,86","239","25","21","34,67"
"1.4.2023 00:00:00","82,86","239","25","21","34,67"
"31.3.2023 00:00:00","81,86","239","25","21","34,25"
"30.3.2023 00:00:00","81,86","239","25","21","34,25"
"29.3.2023 00:00:00","81,86","239","25","21","34,25"
"28.3.2023 00:00:00","81,86","239","25","21","34,25"
"27.3.2023 00:00:00","81,86","239","25","21","34,25"
"26.3.2023 00:00:00","81,86","239","25","21","34,25"
"25.3.2023 00:00:00","81,86","239","25","21","34,25"
"24.3.2023 00:00:00","81,86","239","25","21","34,25"
"23.3.2023 00:00:00","81,86","239","25","21","34,25"
"22.3.2023 00:00:00","81,86","239","25","21","34,25"
"21.3.2023 00:00:00","81,86","239","25","21","34,25"
"20.3.2023 00:00:00","81,86","239","25","21","34,25"

